Exporter,Importer,Value
Uruguay,Spain,2466.0
Latvia,Belgium,2463.0
Latvia,Portugal,2460.0
Australia,Namibia,2457.0
Viet Nam,Jordan,2451.0
New Zealand,Cook Islands,2445.0
Paraguay,Belgium,2432.0
Denmark,Viet Nam,2427.0
Serbia,France,2422.0
Argentina,Equatorial Guinea,2418.0
Estonia,United Kingdom,2410.0
Croatia,Montenegro,2407.0
Austria,"China, Hong Kong SAR",2405.0
Turkey,Lebanon,2402.0
Japan,Cambodia,2401.0
Chile,Turkey,2400.0
Canada,"China, Macao SAR",2400.0
Benin,Burkina Faso,2397.0
New Zealand,Vanuatu,2395.0
Italy,Democratic Republic of the Congo,2394.0
Thailand,Bangladesh,2392.0
Poland,Republic of Moldova,2389.0
France,Malaysia,2380.0
Switzerland,Czechia,2378.0
Spain,Cuba,2372.0
Netherlands,Mauritania,2365.0
Pakistan,Kazakhstan,2364.0
Panama,Costa Rica,2364.0
Sudan,United Arab Emirates,2364.0
Australia,Samoa,2361.0
India,Republic of Moldova,2361.0
Croatia,Israel,2355.0
United Kingdom,Finland,2351.0
India,Congo,2349.0
Bulgaria,Georgia,2347.0
Netherlands,Gambia,2345.0
Slovenia,France,2345.0
Ukraine,Zimbabwe,2337.0
Sweden,Lithuania,2331.0
Spain,Equatorial Guinea,2323.0
Republic of Moldova,Thailand,2323.0
Brazil,Montenegro,2321.0
Ireland,Ghana,2319.0
Cambodia,United States of America,2319.0
Poland,Malta,2317.0
Brazil,Central African Republic,2315.0
India,Greece,2312.0
Pakistan,South Sudan,2310.0
Latvia,Gambia,2309.0
United Republic of Tanzania,South Sudan,2307.0
United Arab Emirates,"China, Hong Kong SAR",2305.0
France,Iraq,2297.0
India,Uganda,2290.0
South Africa,Ethiopia,2288.0
India,Belarus,2287.0
United States of America,Greece,2285.0
Estonia,Hungary,2283.0
Pakistan,Tunisia,2282.0
Australia,Turkey,2276.0
India,Democratic People's Republic of Korea,2272.0
Paraguay,Gambia,2269.0
Germany,Benin,2268.0
Lebanon,Libya,2267.0
Pakistan,Lebanon,2261.0
Paraguay,Angola,2254.0
Portugal,Poland,2253.0
Poland,Togo,2252.0
Turkey,Belgium,2239.0
Spain,Côte d'Ivoire,2234.0
Spain,French Polynesia,2229.0
Denmark,Bulgaria,2227.0
Russian Federation,Poland,2209.0
South Africa,Kenya,2207.0
Lithuania,Ireland,2207.0
Hungary,Iran (Islamic Republic of),2205.0
Argentina,Czechia,2205.0
Iceland,Faroe Islands,2204.0
Czechia,Serbia,2203.0
Morocco,Mauritania,2202.0
Japan,Gambia,2198.0
Portugal,Luxembourg,2195.0
Denmark,Qatar,2193.0
United States of America,Namibia,2192.0
United Arab Emirates,India,2191.0
Bulgaria,Czechia,2185.0
Myanmar,Czechia,2183.0
Argentina,Israel,2181.0
Czechia,Ukraine,2181.0
Mozambique,Kenya,2181.0
Cyprus,Malaysia,2177.0
United Kingdom,Republic of Korea,2176.0
"China, mainland",Burundi,2169.0
Spain,Bosnia and Herzegovina,2167.0
Argentina,Cabo Verde,2164.0
United Arab Emirates,Jordan,2161.0
France,Albania,2160.0
"China, mainland",Saudi Arabia,2160.0
Italy,United Arab Emirates,2157.0
Belgium,Malaysia,2154.0
Indonesia,Japan,2153.0
Greece,Belgium,2151.0
Belgium,Republic of Moldova,2149.0
Russian Federation,Belgium,2148.0
Slovakia,France,2146.0
Slovenia,Hungary,2128.0
Iceland,United States of America,2127.0
Turkey,Canada,2122.0
"China, Taiwan Province of","China, mainland",2119.0
Sweden,Iceland,2117.0
Belgium,Cameroon,2108.0
New Zealand,Bahrain,2105.0
Sweden,Portugal,2105.0
Iceland,Netherlands,2103.0
North Macedonia,Croatia,2101.0
Falkland Islands (Malvinas),United Kingdom,2099.0
Canada,French Polynesia,2094.0
Bangladesh,United Arab Emirates,2092.0
United States of America,Palau,2091.0
Cyprus,Israel,2090.0
South Africa,Ghana,2090.0
New Zealand,Ukraine,2088.0
Brazil,Liberia,2076.0
Latvia,Finland,2075.0
Hungary,Malta,2071.0
Pakistan,Greece,2070.0
Italy,Syrian Arab Republic,2069.0
Spain,Kyrgyzstan,2068.0
Belgium,Senegal,2062.0
Uruguay,Saint Vincent and the Grenadines,2053.0
South Africa,Cameroon,2050.0
Thailand,Albania,2045.0
Hungary,Singapore,2039.0
Bulgaria,Hungary,2033.0
Jordan,Lithuania,2029.0
New Zealand,Gabon,2024.0
Netherlands,Nigeria,2024.0
Austria,Malta,2021.0
Viet Nam,Norway,2016.0
India,Equatorial Guinea,2014.0
Ghana,Togo,2008.0
South Africa,Nigeria,2000.0
Singapore,"China, Hong Kong SAR",1999.0
Benin,Sierra Leone,1999.0
United Kingdom,Ghana,1997.0
Chile,Uruguay,1994.0
Uruguay,Singapore,1990.0
"China, mainland",Benin,1989.0
Finland,Morocco,1987.0
Mexico,El Salvador,1983.0
Thailand,Portugal,1981.0
Canada,Congo,1978.0
Slovakia,Saudi Arabia,1977.0
United States of America,Mali,1970.0
Netherlands,Mexico,1969.0
Pakistan,Egypt,1969.0
Spain,New Zealand,1967.0
Canada,Mauritius,1964.0
Ethiopia,Djibouti,1960.0
Mexico,Viet Nam,1959.0
Sweden,"China, Hong Kong SAR",1957.0
Viet Nam,Madagascar,1954.0
United States of America,Cook Islands,1949.0
Greece,North Macedonia,1944.0
Spain,Viet Nam,1942.0
United Kingdom,Cyprus,1940.0
Poland,Israel,1939.0
Republic of Moldova,Japan,1938.0
Chile,Cyprus,1935.0
Mexico,Ghana,1928.0
Pakistan,Norway,1926.0
Austria,Serbia,1921.0
United Kingdom,Nigeria,1920.0
Poland,Rwanda,1918.0
Finland,Latvia,1917.0
Brazil,Guinea,1915.0
"China, mainland",Sri Lanka,1899.0
South Africa,Malawi,1893.0
Uganda,Sudan,1893.0
Ukraine,Democratic People's Republic of Korea,1892.0
Uruguay,Cabo Verde,1885.0
Argentina,Pakistan,1885.0
Chile,Bolivia (Plurinational State of),1882.0
Kazakhstan,Libya,1873.0
Uruguay,Russian Federation,1873.0
North Macedonia,Albania,1872.0
Republic of Moldova,Pakistan,1871.0
Estonia,Romania,1869.0
South Africa,Mauritius,1865.0
Bulgaria,Albania,1862.0
Lithuania,Finland,1862.0
Norway,Ukraine,1862.0
Italy,Angola,1861.0
Czechia,Switzerland,1855.0
Viet Nam,Portugal,1854.0
Belgium,Bosnia and Herzegovina,1849.0
"China, Taiwan Province of",Nicaragua,1849.0
Colombia,"China, Hong Kong SAR",1849.0
Italy,Lithuania,1849.0
Ireland,Japan,1847.0
Spain,Uruguay,1840.0
Jordan,Saudi Arabia,1826.0
Sweden,Turkey,1822.0
Malaysia,Benin,1818.0
Ireland,Poland,1815.0
"China, mainland",Senegal,1812.0
Madagascar,Viet Nam,1811.0
Canada,Barbados,1809.0
Cambodia,Lithuania,1808.0
Argentina,Portugal,1802.0
United Kingdom,North Macedonia,1801.0
Australia,Tunisia,1800.0
Paraguay,Indonesia,1800.0
Argentina,Ghana,1796.0
Zambia,Mozambique,1795.0
Guyana,Barbados,1794.0
Australia,Burundi,1794.0
United States of America,Denmark,1793.0
Lithuania,Austria,1791.0
Spain,Comoros,1791.0
Serbia,"China, Hong Kong SAR",1776.0
Finland,Italy,1774.0
Mongolia,United States of America,1772.0
New Zealand,Solomon Islands,1771.0
Greece,Czechia,1766.0
India,Fiji,1766.0
Canada,Equatorial Guinea,1765.0
Myanmar,Turkey,1763.0
Turkey,Togo,1758.0
Chile,Singapore,1756.0
United Kingdom,Saint Lucia,1753.0
Denmark,Ukraine,1753.0
Belgium,Côte d'Ivoire,1753.0
Spain,North Macedonia,1753.0
New Zealand,Iraq,1752.0
Portugal,Switzerland,1750.0
United Arab Emirates,Djibouti,1746.0
Belarus,Ukraine,1737.0
Chile,Japan,1735.0
Pakistan,Portugal,1734.0
Sudan,Kuwait,1733.0
Romania,Albania,1728.0
Poland,Cyprus,1728.0
Argentina,Denmark,1726.0
Netherlands,Côte d'Ivoire,1726.0
Netherlands,Uzbekistan,1725.0
Portugal,Lebanon,1725.0
Brazil,Namibia,1724.0
Netherlands,Lebanon,1722.0
United Kingdom,Côte d'Ivoire,1722.0
Turkey,Benin,1718.0
Denmark,New Zealand,1717.0
Bulgaria,North Macedonia,1717.0
Spain,Georgia,1715.0
Singapore,Maldives,1714.0
Côte d'Ivoire,Niger,1711.0
Italy,Equatorial Guinea,1711.0
Netherlands,Viet Nam,1702.0
India,Bulgaria,1702.0
Italy,Togo,1702.0
Pakistan,Armenia,1695.0
France,Republic of Moldova,1694.0
Turkey,Greece,1694.0
Cyprus,Greece,1692.0
Republic of Moldova,Germany,1684.0
Belgium,Uruguay,1683.0
Mexico,France,1678.0
Croatia,Ukraine,1675.0
Netherlands,Kuwait,1675.0
"China, mainland",Tajikistan,1672.0
"China, mainland",Germany,1665.0
Romania,Slovenia,1664.0
Brazil,Saint Kitts and Nevis,1662.0
Netherlands,Iraq,1662.0
Ireland,Czechia,1659.0
Australia,Ireland,1658.0
Croatia,Turkey,1646.0
Argentina,Sudan,1645.0
Netherlands,Liberia,1645.0
Jordan,Romania,1639.0
Slovakia,United Kingdom,1634.0
Saint Vincent and the Grenadines,Saint Lucia,1631.0
Serbia,Bulgaria,1631.0
Pakistan,Syrian Arab Republic,1630.0
Netherlands,Aruba,1626.0
Panama,Nicaragua,1620.0
Spain,Malaysia,1618.0
Poland,Guinea,1618.0
Thailand,Poland,1616.0
Norway,Spain,1611.0
Lithuania,"China, Hong Kong SAR",1606.0
Russian Federation,Thailand,1598.0
"China, mainland",Israel,1597.0
Uruguay,"China, Hong Kong SAR",1594.0
Malaysia,Maldives,1592.0
Mongolia,Russian Federation,1592.0
Romania,Pakistan,1590.0
United Kingdom,Afghanistan,1590.0
Australia,Tonga,1587.0
Lithuania,Tunisia,1583.0
Armenia,Iran (Islamic Republic of),1583.0
Pakistan,Togo,1581.0
Denmark,Mexico,1581.0
Sweden,Republic of Korea,1575.0
Latvia,Hungary,1570.0
United States of America,Uzbekistan,1567.0
"China, mainland",Guinea,1565.0
Argentina,France,1564.0
Brazil,Bulgaria,1563.0
Russian Federation,Estonia,1560.0
Denmark,United Arab Emirates,1559.0
Republic of Korea,Australia,1559.0
Malaysia,Timor-Leste,1559.0
Oman,Saudi Arabia,1551.0
Belgium,Venezuela (Bolivarian Republic of),1549.0
Denmark,Uzbekistan,1548.0
United Kingdom,Australia,1540.0
Ukraine,Senegal,1540.0
Honduras,Nicaragua,1536.0
"China, Taiwan Province of",Philippines,1536.0
Sweden,Malaysia,1534.0
Estonia,Russian Federation,1534.0
United Arab Emirates,Tajikistan,1529.0
Netherlands,Niger,1528.0
Italy,Cyprus,1526.0
Poland,Kazakhstan,1526.0
Uganda,United Republic of Tanzania,1516.0
Spain,Norway,1512.0
United Kingdom,Japan,1512.0
"China, mainland",France,1505.0
Finland,"China, Hong Kong SAR",1504.0
United States of America,India,1503.0
Turkey,Kyrgyzstan,1502.0
Indonesia,Malaysia,1501.0
Spain,Liberia,1499.0
Brazil,Chad,1496.0
Singapore,Mauritania,1492.0
Denmark,Slovenia,1490.0
Viet Nam,Lithuania,1489.0
Brazil,Djibouti,1489.0
Turkey,Equatorial Guinea,1487.0
Senegal,Mauritania,1486.0
Guyana,Saint Lucia,1485.0
France,Maldives,1485.0
Finland,Republic of Korea,1483.0
Uruguay,Honduras,1483.0
Jordan,Kuwait,1482.0
Italy,Ukraine,1473.0
Guatemala,"China, Hong Kong SAR",1465.0
Argentina,Nepal,1464.0
Togo,Guinea,1460.0
Colombia,Mexico,1460.0
Argentina,Armenia,1457.0
Viet Nam,Togo,1457.0
Mauritius,United States of America,1456.0
Australia,Congo,1455.0
Romania,Armenia,1453.0
Poland,Malawi,1451.0
Poland,Mongolia,1450.0
India,Mexico,1445.0
Poland,Georgia,1442.0
Serbia,Ireland,1437.0
Belgium,Mauritania,1432.0
Italy,Côte d'Ivoire,1432.0
Bulgaria,Kuwait,1431.0
Guyana,Grenada,1428.0
Romania,Bosnia and Herzegovina,1427.0
Thailand,Colombia,1426.0
Singapore,Japan,1424.0
Mexico,Belize,1423.0
Denmark,Turkmenistan,1421.0
France,Iceland,1418.0
New Zealand,Chile,1414.0
Germany,Malta,1414.0
Bangladesh,Italy,1410.0
Germany,Senegal,1408.0
United States of America,Togo,1407.0
South Africa,United Kingdom,1407.0
Lebanon,Jordan,1406.0
Nicaragua,Guatemala,1406.0
Canada,Angola,1405.0
Slovenia,Cyprus,1404.0
Germany,Maldives,1403.0
Ukraine,Austria,1400.0
Argentina,Greece,1399.0
Thailand,India,1398.0
Thailand,Finland,1398.0
New Zealand,American Samoa,1397.0
Togo,Central African Republic,1395.0
India,Haiti,1394.0
Brazil,Denmark,1394.0
United Kingdom,Gabon,1393.0
Viet Nam,Cambodia,1389.0
Bangladesh,Saudi Arabia,1389.0
Thailand,Sao Tome and Principe,1388.0
Slovenia,Lebanon,1385.0
Paraguay,Cameroon,1385.0
Ireland,Gabon,1381.0
Republic of Moldova,Armenia,1381.0
Austria,Georgia,1379.0
"China, mainland",United Kingdom,1379.0
Turkey,Armenia,1377.0
Poland,Cabo Verde,1375.0
Romania,Switzerland,1370.0
Canada,Saint Vincent and the Grenadines,1368.0
Canada,Myanmar,1366.0
Guyana,United States of America,1364.0
Cambodia,"China, Hong Kong SAR",1361.0
Portugal,"China, Hong Kong SAR",1361.0
Sweden,Ghana,1358.0
Austria,Lithuania,1357.0
Poland,Viet Nam,1348.0
Sri Lanka,Oman,1346.0
Poland,Haiti,1345.0
United Arab Emirates,Viet Nam,1343.0
United Arab Emirates,Brazil,1341.0
Japan,Sao Tome and Principe,1338.0
Portugal,Guinea-Bissau,1335.0
Australia,Seychelles,1334.0
Viet Nam,Serbia,1333.0
Canada,Georgia,1329.0
Lithuania,Viet Nam,1323.0
Belgium,Seychelles,1321.0
Pakistan,Liberia,1320.0
United States of America,Poland,1320.0
Italy,Armenia,1317.0
Pakistan,Seychelles,1315.0
Spain,Thailand,1313.0
Australia,Dominican Republic,1310.0
Slovenia,Slovakia,1309.0
Montenegro,Belarus,1309.0
United Arab Emirates,United Republic of Tanzania,1308.0
Viet Nam,Cabo Verde,1308.0
Uruguay,Canada,1307.0
United States of America,Montenegro,1307.0
Croatia,Greece,1303.0
Singapore,Cambodia,1303.0
New Zealand,Guam,1301.0
Turkey,Kuwait,1301.0
Canada,Panama,1298.0
Brazil,Togo,1298.0
Myanmar,Philippines,1296.0
Slovakia,Bulgaria,1295.0
Ireland,Trinidad and Tobago,1293.0
United Kingdom,Congo,1293.0
Turkey,Liberia,1293.0
Thailand,Ethiopia,1291.0
Kuwait,Qatar,1288.0
Canada,Dominica,1288.0
Argentina,"China, Taiwan Province of",1284.0
Turkey,Serbia,1281.0
Latvia,Malta,1281.0
Germany,Thailand,1280.0
Portugal,"China, Macao SAR",1278.0
France,Georgia,1278.0
Germany,New Caledonia,1277.0
Brazil,Brazil,1275.0
Israel,France,1275.0
Latvia,Afghanistan,1271.0
Uruguay,Congo,1271.0
Republic of Moldova,Philippines,1268.0
Estonia,Ireland,1264.0
Turkey,Republic of Korea,1261.0
Guyana,France,1259.0
New Zealand,Latvia,1259.0
India,Zimbabwe,1259.0
Niger,Brazil,1259.0
Latvia,Bulgaria,1258.0
Lao People's Democratic Republic,Sweden,1256.0
United Kingdom,Equatorial Guinea,1256.0
Nepal,Viet Nam,1254.0
Guyana,Antigua and Barbuda,1254.0
Spain,"China, Taiwan Province of",1251.0
Viet Nam,Spain,1249.0
United States of America,Hungary,1246.0
Jordan,"China, Hong Kong SAR",1245.0
Sweden,Estonia,1236.0
Thailand,Ecuador,1233.0
El Salvador,Honduras,1232.0
Singapore,Côte d'Ivoire,1231.0
Italy,Gabon,1231.0
Israel,Belgium,1230.0
Myanmar,Croatia,1230.0
Croatia,Slovakia,1230.0
Hungary,Israel,1229.0
Nepal,Thailand,1226.0
Netherlands,Suriname,1226.0
Latvia,Russian Federation,1226.0
Australia,Christmas Island,1225.0
New Zealand,Lebanon,1220.0
Netherlands,Qatar,1218.0
Costa Rica,"China, mainland",1218.0
New Zealand,Turkey,1212.0
Peru,France,1210.0
Slovakia,Cyprus,1206.0
Chile,Portugal,1205.0
Bulgaria,Russian Federation,1203.0
Oman,Bahrain,1201.0
Jamaica,Cayman Islands,1196.0
Canada,Aruba,1194.0
Jordan,United Arab Emirates,1192.0
Paraguay,Trinidad and Tobago,1190.0
Russian Federation,Republic of Moldova,1189.0
Pakistan,Ireland,1186.0
Italy,Ghana,1186.0
Belgium,Syrian Arab Republic,1185.0
Slovenia,Netherlands,1185.0
Brazil,Dominica,1184.0
"China, mainland",Australia,1183.0
Myanmar,Portugal,1178.0
Cambodia,Belarus,1174.0
"China, mainland",Brazil,1174.0
Ukraine,Liberia,1170.0
"China, mainland",Armenia,1169.0
Brazil,Côte d'Ivoire,1166.0
Italy,Georgia,1165.0
Argentina,Afghanistan,1163.0
Egypt,Qatar,1163.0
Australia,American Samoa,1162.0
Kazakhstan,Turkmenistan,1161.0
Uruguay,Philippines,1159.0
Thailand,Uganda,1159.0
Georgia,Azerbaijan,1158.0
Brazil,Poland,1156.0
Ukraine,Côte d'Ivoire,1156.0
"China, mainland",Angola,1153.0
Iran (Islamic Republic of),Thailand,1153.0
Thailand,Guam,1152.0
Germany,Rwanda,1150.0
New Zealand,South Africa,1147.0
Denmark,Cyprus,1145.0
Denmark,Bahamas,1145.0
Uruguay,Tunisia,1143.0
"China, Hong Kong SAR",United States of America,1143.0
"China, mainland",Netherlands,1143.0
Latvia,Rwanda,1142.0
Spain,Latvia,1141.0
France,Djibouti,1140.0
Canada,Haiti,1136.0
Malaysia,Mauritania,1134.0
Switzerland,Netherlands,1130.0
Slovakia,Switzerland,1129.0
Spain,Iraq,1129.0
Canada,Belize,1125.0
Czechia,Azerbaijan,1123.0
United Arab Emirates,Turkmenistan,1120.0
Slovakia,Greece,1116.0
Austria,"China, mainland",1113.0
Estonia,Portugal,1112.0
Estonia,Poland,1111.0
Italy,Haiti,1109.0
India,Austria,1108.0
Iceland,Benin,1107.0
United States of America,North Macedonia,1105.0
France,Kazakhstan,1098.0
India,Denmark,1092.0
Cyprus,Mauritania,1092.0
Brazil,Republic of Moldova,1090.0
Ukraine,Afghanistan,1088.0
Switzerland,Italy,1086.0
Brazil,Guyana,1084.0
Belgium,Singapore,1083.0
United States of America,Belarus,1081.0
Sri Lanka,Viet Nam,1081.0
France,Canada,1080.0
Sweden,"China, Taiwan Province of",1079.0
Benin,Liberia,1078.0
Spain,Guinea,1077.0
Philippines,Indonesia,1072.0
Ukraine,Estonia,1071.0
United Republic of Tanzania,Viet Nam,1070.0
Lao People's Democratic Republic,France,1069.0
Ireland,Norway,1063.0
Bolivia (Plurinational State of),Paraguay,1060.0
India,Morocco,1057.0
Turkey,Oman,1057.0
Thailand,Croatia,1057.0
Saudi Arabia,Sudan,1052.0
Myanmar,"China, Taiwan Province of",1046.0
Paraguay,Republic of Korea,1044.0
Poland,Malaysia,1042.0
Thailand,Sudan,1041.0
Lebanon,Syrian Arab Republic,1041.0
Kazakhstan,Greece,1039.0
Iceland,Spain,1038.0
Russian Federation,British Virgin Islands,1038.0
Sweden,Benin,1035.0
Germany,Cabo Verde,1035.0
"China, mainland",Cameroon,1031.0
Hungary,Ireland,1028.0
United Republic of Tanzania,Qatar,1021.0
Czechia,Belgium,1018.0
Lithuania,Indonesia,1016.0
South Africa,"China, mainland",1009.0
Poland,Montenegro,1005.0
Czechia,United Kingdom,1003.0
Switzerland,France,1001.0
Canada,Grenada,999.0
Canada,Suriname,999.0
Cambodia,Latvia,998.0
Sri Lanka,United Arab Emirates,994.0
Ukraine,Somalia,994.0
Croatia,Bulgaria,993.0
Lithuania,Cyprus,991.0
Canada,North Macedonia,991.0
"China, Hong Kong SAR",Namibia,988.0
Brazil,Barbados,983.0
Germany,India,983.0
Uruguay,Italy,981.0
Austria,Belgium,980.0
Lithuania,Malaysia,977.0
New Zealand,Northern Mariana Islands,977.0
Ukraine,Burundi,976.0
Belgium,Ukraine,975.0
Belgium,Togo,974.0
New Zealand,Côte d'Ivoire,973.0
Thailand,Serbia,971.0
Germany,Indonesia,970.0
Bangladesh,United States of America,968.0
Thailand,Guinea-Bissau,967.0
Spain,Australia,966.0
"China, Hong Kong SAR",Lao People's Democratic Republic,965.0
Uruguay,Argentina,963.0
India,Rwanda,959.0
"China, Taiwan Province of",Australia,958.0
France,Estonia,957.0
India,Lithuania,957.0
Iceland,United Kingdom,957.0
Italy,Liberia,955.0
Côte d'Ivoire,Senegal,954.0
Seychelles,Georgia,954.0
Viet Nam,New Zealand,954.0
Belgium,Liberia,953.0
United States of America,Maldives,953.0
Germany,Oman,952.0
"China, Taiwan Province of",Jordan,951.0
Guyana,Belize,951.0
Pakistan,Czechia,950.0
Serbia,Malta,947.0
United Kingdom,Trinidad and Tobago,942.0
Netherlands,Oman,942.0
Czechia,France,938.0
Nicaragua,Honduras,932.0
Honduras,Colombia,930.0
Egypt,Netherlands,929.0
Lithuania,Greece,922.0
Australia,Pakistan,922.0
Portugal,Belgium,922.0
Pakistan,Sudan,918.0
Romania,Estonia,917.0
Hungary,Montenegro,914.0
Sri Lanka,Myanmar,914.0
Argentina,New Caledonia,912.0
Romania,North Macedonia,911.0
Ghana,Qatar,911.0
Saudi Arabia,Bangladesh,911.0
Ukraine,Oman,909.0
"China, Taiwan Province of",Singapore,907.0
United Arab Emirates,Nigeria,906.0
Cambodia,Austria,905.0
Romania,Belarus,903.0
Spain,Luxembourg,900.0
South Africa,Egypt,899.0
United States of America,Anguilla,898.0
Denmark,Belarus,894.0
Germany,Cambodia,894.0
Romania,Denmark,892.0
Japan,Republic of Korea,891.0
Cambodia,Hungary,890.0
Turkey,Morocco,890.0
New Zealand,Saint Lucia,888.0
Nicaragua,Panama,886.0
Greece,Latvia,881.0
Belgium,Guinea,881.0
Belgium,Uzbekistan,881.0
India,Jamaica,879.0
Japan,Australia,876.0
Netherlands,Wallis and Futuna Islands,875.0
Lithuania,Iceland,873.0
Germany,Chile,873.0
Italy,North Macedonia,873.0
Turkey,Palestine,872.0
Namibia,Norway,872.0
United States of America,Czechia,872.0
India,Cyprus,872.0
Republic of Moldova,Libya,869.0
Bulgaria,Serbia,866.0
Croatia,France,863.0
United Arab Emirates,Turkey,861.0
Egypt,Spain,857.0
Romania,"China, mainland",857.0
Netherlands,Central African Republic,856.0
Turkey,Turkmenistan,856.0
Belgium,Canada,855.0
Canada,Norway,855.0
Thailand,Rwanda,853.0
Nigeria,Niger,851.0
India,Botswana,849.0
United Kingdom,Estonia,847.0
Cambodia,Australia,846.0
Netherlands,Afghanistan,846.0
Slovakia,"China, Hong Kong SAR",845.0
United Kingdom,United Republic of Tanzania,844.0
Belize,Guatemala,843.0
France,Haiti,842.0
Ukraine,Benin,841.0
Pakistan,Republic of Moldova,841.0
Myanmar,Zimbabwe,841.0
Brazil,El Salvador,840.0
United Arab Emirates,Libya,840.0
Latvia,United Arab Emirates,839.0
Finland,Belarus,839.0
Singapore,Sri Lanka,838.0
Portugal,Albania,838.0
Kuwait,Bahrain,832.0
Singapore,Togo,831.0
Netherlands,Iceland,830.0
France,Wallis and Futuna Islands,829.0
Thailand,Lithuania,828.0
United Kingdom,Malaysia,825.0
Australia,Kazakhstan,823.0
Uruguay,"China, Taiwan Province of",820.0
Thailand,Jamaica,820.0
Uruguay,Norway,819.0
Ukraine,Panama,818.0
Malawi,United Republic of Tanzania,818.0
United Kingdom,Bahamas,818.0
Denmark,Philippines,816.0
New Zealand,Tunisia,816.0
Belgium,Bahamas,815.0
Brazil,Ukraine,813.0
Norway,Sweden,812.0
Thailand,Syrian Arab Republic,811.0
Jordan,Syrian Arab Republic,809.0
Russian Federation,Sweden,807.0
Canada,Saint Lucia,806.0
Republic of Moldova,Israel,806.0
Belgium,Kuwait,805.0
South Africa,Seychelles,805.0
Afghanistan,Senegal,803.0
Norway,Russian Federation,801.0
Turkey,Hungary,800.0
Hungary,Indonesia,799.0
Jordan,Israel,798.0
Thailand,Maldives,797.0
Ireland,Russian Federation,797.0
Viet Nam,Albania,796.0
Spain,Ghana,796.0
Netherlands,Brazil,795.0
Denmark,Namibia,793.0
"China, mainland",Thailand,793.0
Germany,Gambia,793.0
Lithuania,Romania,792.0
Spain,Guinea-Bissau,792.0
Uruguay,Trinidad and Tobago,790.0
United States of America,Uruguay,790.0
Spain,India,789.0
Senegal,Guinea,789.0
"China, mainland",Madagascar,789.0
South Africa,Russian Federation,788.0
Thailand,Iceland,788.0
Myanmar,"China, Hong Kong SAR",787.0
Spain,Kuwait,786.0
Slovenia,Germany,786.0
Argentina,Cyprus,786.0
Australia,Cyprus,785.0
Czechia,Bosnia and Herzegovina,785.0
Slovenia,Sweden,784.0
Australia,Lao People's Democratic Republic,783.0
Slovakia,Serbia,783.0
Ireland,Benin,781.0
Jordan,Lebanon,780.0
United Kingdom,Zimbabwe,780.0
Germany,Tunisia,779.0
Austria,Belarus,778.0
India,Romania,777.0
Spain,Jordan,777.0
Belgium,North Macedonia,775.0
Lithuania,Croatia,775.0
Nigeria,Qatar,774.0
Guatemala,Belize,772.0
Spain,Congo,771.0
Argentina,Mauritania,767.0
Canada,El Salvador,767.0
Canada,Bermuda,766.0
Germany,Malawi,765.0
United Arab Emirates,Ethiopia,763.0
